word, phonetic
Angola, ɑ̃ɡɔla
Angoulême, ɑ̃ɡulɛm
Angoumois, ɑ̃ɡumwa
Anguilla, ɑ̃ɡɥija
Angèle, ɑ̃ʒɛl
Anissa, anisa
Anita, anita
Anjou, ɑ̃ʒu
Ankara, ɑ̃kaʁa
Anna, ana
Annabelle, anabɛl
Anne, an
Anne-Laure, anlɔʁ
Anne-Marie, anmaʁi
Anne-Sophie, ansɔfi
Annecy, ansi
Annemasse, anmas
Annette, anɛt
Annick, anik
Annie, ani
Anosov, anozɔv
Anouilh, anuj
Ans, ɑ̃s
Anselme, ɑ̃sɛlm
Antalya, ɑ̃talja
Antananarivo, ɑ̃tananaʁivo
Antarctique, ɑ̃taʁktik
Anthelme, ɑ̃tɛlm
Anthony, ɑ̃tɔni
Antibes, ɑ̃tib
Antigone, ɑ̃tiɡɔn
Antigua-et-Barbuda, ɑ̃tiɡwaebaʁbyda
Antilles, ɑ̃tij
Antioche, ɑ̃tjɔʃ
Antoine, ɑ̃twan
Antoinette, ɑ̃twanɛt
Antonin, ɑ̃tɔnɛ̃
Antonio, ɑ̃tɔnjo
Antony, ɑ̃tɔni
Antwerpen, ɑ̃tvɛʁpɛn
Anubis, anybis
Anvers, ɑ̃vɛʁs
Apennin, apenɛ̃
Apennins, apenɛ̃
Aphrodite, afʁɔdit
Apollinaire, apɔlinɛʁ
Apolline, apɔlin
Apollon, apɔlɔ̃
Apollonius, apɔlɔnjys
Apophis, apɔfis
Appalaches, apalaʃ
Appenzell, apœnzɛl
Apple, apœl
Apulée, apyle
Aquitaine, akitɛn
Arabie, aʁabi
Aragon, aʁaɡɔ̃
Aral, aʁal
Aranjuez, aʁanxwes
Ararat, aʁaʁat
Arbois, aʁbwa
Arcachon, aʁkaʃɔ̃
Arcadie, aʁkadi
Archimède, aʁʃimɛd
Arctique, aʁktik
Ardenne, aʁdɛn
Ardèche, aʁdɛʃ
Argenteuil, aʁʒɑ̃tœj
Argentine, aʁʒɑ̃tin
Argonne, aʁɡɔn
Argos, aʁɡɔs
Argovie, aʁɡɔvi
Ariane, aʁjan
Ariel, aʁjɛl
Arion, aʁjɔ̃
Aristarque, aʁistaʁk
Aristide, aʁistid
Aristophane, aʁistɔfan
Aristote, aʁistɔt
Arizona, aʁizɔna
Ariège, aʁjɛʒ
Arkansas, aʁkɑ̃sas
Arkhangelsk, aʁkɑ̃ʒɛlsk
Arles, aʁl
Arlette, aʁlɛt
Arlington, aʁliŋtɔn
Arlon, aʁlɔ̃
Armageddon, aʁmaɡedɔ̃
Armagnac, aʁmaɲak
Armand, aʁmɑ̃
Armande, aʁmɑ̃d
Armel, aʁmɛl
Armelle, aʁmɛl
Armentières, aʁmɑ̃tjɛʁ
Armor, aʁmɔʁ
Armorique, aʁmɔʁik
Arménie, aʁmeni
Arnaud, aʁno
Arras, aʁas
Arsène, aʁsɛn
Arthur, aʁtyʁ
Artois, aʁtwa
Artémis, aʁtemis
Artémision, aʁtemizjɔ̃
Aruba, aʁyba
Arès, aʁɛs
Ascq, ask
Asgard, asɡaʁ
Asie, azi
Asimov, azimɔv
Asmara, asmaʁa
Asnières, anjɛʁ
Asnières-sur-Seine, anjɛʁsyʁsɛn
Asperger, aspɛʁɡœʁ
Asse, as
Assouan, aswɑ̃
Assourbanipal, asuʁbanipal
Assyrie, asiʁi
Astana, astana
Astrakhan, astʁakan
Astrid, astʁid
Asturies, astyʁi
Asunción, asunsjɔn
Atahualpa, atawalpa
Atalante, atalɑ̃t
Atatürk, atatyʁk
Ath, at
Athis-Mons, atismɔ̃s
Athènes, atɛn
Athéna, atena
Atlanta, atlɑ̃ta
Atlantide, atlɑ̃tid
Atlantique, atlɑ̃tik
Atomium, atɔmjɔm
Atropos, atʁɔpɔs
Attila, atila
Aubagne, obaɲ
Aube, ob
Aubervilliers, obɛʁvilje
Aubin, obɛ̃
Aubrac, obʁak
Auch, ɔʃ
Auckland, oklɑ̃d
Aude, od
Audenarde, odənaʁd
Auderghem, odɛʁɡɛm
Audin, odɛ̃
Audrey, odʁɛ
Augsbourg, oɡsbuʁ
Augusta, oɡysta
Auguste, oɡyst
Augustin, oɡystɛ̃
Augustine, oɡystin
Aulnay-sous-Bois, olnɛsubwa
Aunis, oni
Aurillac, oʁijak
Auriol, oʁjɔl
Aurore, oʁɔʁ
Aurélia, oʁelja
Aurélie, oʁeli
Aurélien, oʁeljɛ̃
Auschwitz, oʃvits
Austerlitz, ostɛʁlits
Austin, ostin
Australie, ostʁali
Australie-Méridionale, ostʁalimeʁidjɔnal
Australie-Occidentale, ostʁaliɔksidɑ̃tal
Austrasie, ostʁazi
Autriche, otʁiʃ
Autriche-Hongrie, otʁiʃɔ̃ɡʁi
Auvergne, ovɛʁɲ
Auxerre, osɛʁ
Avalon, avalɔ̃
Avars, avaʁ
Ave, av
Aventin, avɑ̃tɛ̃
Aveyron, aveʁɔ̃
Avicenne, avisɛn
Avignon, aviɲɔ̃
Avogadro, avɔɡadʁo
Axel, aksɛl
Axelle, aksɛl
Aymar, ɛmaʁ
Aymeric, ɛmʁik
Aymé, ɛme
Azerbaïdjan, azɛʁbaidʒɑ̃
Azov, azɔv
Açores, asɔʁ
Aïcha, aiʃa
Aïd-el-Adha, aidɛlada
Aïd-el-Kébir, aidɛlkebiʁ
B, b
BD, bede
BEF, bɛf
BIOS, bjos
BMW, beɛmdubləve
BMX, beɛmiks
BTS, beteɛs
Baal, baal
Baar, baaʁ
Babel, babɛl
Babylone, babilɔn
Babylonie, babilɔni
Bacchus, bakys
Bach, bak
Bachelard, baʃlaʁ
Backlund, baklunt
Bade-Wurtemberg, badvyʁtɑ̃bɛʁɡ
Baffin, bafɛ̃
Bagdad, baɡdad
Bagneux, baɲø
Bagnolet, baɲɔlɛ
Bahamas, baamas
Bahreïn, baʁajn
Baie-Comeau, bɛkɔmo
Baie-James, bɛdʒɛms
Baire, bɛʁ
Bakou, baku
Bakounine, bakunin
Balen, balɑ̃
Bali, bali
Balkans, balkɑ̃
Baloutchistan, balutʃistɑ̃
Balthazar, baltazaʁ
Baltimore, baltimɔʁ
Baltique, baltik
Balzac, balzak
Baléares, baleaʁ
Bamako, bamako
Banach, banaʃ
Bandung, bɑ̃duŋ
Bangalore, bɑ̃ɡalɔʁ
Bangkok, bɑ̃ŋkɔk
Bangladesh, bɛ̃ɡladɛʃ
Bangui, bɑ̃ɡi
Banjul, bɑ̃ʒyl
Banneux, banø
Baptiste, batist
Bar-le-Duc, baʁlədyk
Barbade, baʁbad
Barbara, baʁbaʁa
Barcelone, baʁsəlɔn
Bargmann, baʁɡman
Bari, baʁi
Barjavel, baʁʒavɛl
Barnabé, baʁnabe
Barnard, baʁnaʁ
Barthélemy, baʁtelemi
Barthélémy, baʁtelemi
Bartolomé, baʁtɔlɔme
Bartók, baʁtɔk
Baruch, baʁyk
Bas-Congo, bɑkɔ̃ɡo
Bas-Rhin, bɑʁɛ̃
Bas-Saint-Laurent, bɑsɛ̃loʁɑ̃
Bascharage, bɑʃaʁaʒ
Basile, bazil
Basse-Côte-Nord, baskotnɔʁ
Basse-Normandie, basnɔʁmɑ̃di
Basse-Saxe, bassaks
Basse-Terre, bastɛʁ
Bassens, basɑ̃
Bastia, bastja
Bastiat, bastja
Bastien, bastjɛ̃
Bastogne, bastɔɲ
Bata, bata
Bathurst, batyʁst
Baudelaire, bodlɛʁ
Baudoin, bodwɛ̃
Baudouin, bodwɛ̃
Bauges, boʒ
Bavière, bavjɛʁ
Bayle, bɛl
Bayonne, bajɔn
Bayreuth, bajʁœt
Baïkal, baikal
Baïkonour, bajkɔnuʁ
Beauce, bos
Beaufort, bofɔʁ
Beauharnais, boaʁnɛ
Beaujolais, boʒɔlɛ
Beaumarchais, bomaʁʃɛ
Beaune, bon
Beauraing, boʁɛ̃
Beauvais, bovɛ
Beauvoir, bovwaʁ
Beckett, bekɛt
Becquerel, bɛkʁɛl
Beersel, biʁsɛl
Beethoven, bɛtɔvən,betɔvən
Beijing, bedʒiŋ
Belfast, bɛlfast
Belfort, bɛlfɔʁ
Belgique, bɛlʒik
Belgrade, bɛlɡʁad
Belize, beliz
Bell, bɛl
Bellérophon, bɛleʁɔfɔ̃
Beltrami, bɛltʁami
Belzébuth, bɛlzebyt
Ben, bɛ̃/bɛn
Bendixson, bendiksɔn
Benelux, benelyks
Bengale, bɛ̃ɡal
Benjamin, bɛ̃ʒamɛ̃
Benoît, bənwa
Benoîte, bənwat
Berchem-Sainte-Agathe, bɛʁʃəmsɛ̃taɡat
Bercy, bɛʁsi
Bergen, bɛʁɡœn
Bergerac, bɛʁʒəʁak
Bergson, bɛʁɡsɔn
Beringen, bəʁiŋgœn
Berkeley, bɛʁklɛ
Berlin, bɛʁlɛ̃
Berlioz, bɛʁljoz
Bermudes, bɛʁmyd
Bernadette, bɛʁnadɛt
Bernard, bɛʁnaʁ
Bernardin, bɛʁnaʁdɛ̃
Berne, bɛʁn
Bernhard, bɛʁnaʁ
Bernoulli, bɛʁnuli
Bernstein, bɛʁnʃtajn
Berry, beʁi
Bers, bɛʁs
Berthe, bɛʁt
Berthelot, bɛʁtəlo
Berthollet, bɛʁtɔlɛ
Bertille, bɛʁtij
Bertrand, bɛʁtʁɑ̃
Bertrange, bɛʁtʁɑ̃ʒ
Besançon, bəzɑ̃sɔ̃
Bescherelle, bɛsʃəʁɛl
Besov, bəzɔv
Bessel, bɛsɛl
Bethléem, bɛtleɛm
Bettembourg, bɛtɑ̃buʁ
Betti, beti
Betty, beti
Beurling, bœʁliŋ
Beveren, bevəʁɛn
Beyrouth, beʁut
Bezons, bəzɔ̃
Bhagavad-Gîtâ, baɡavadʒita
Bhoutan, butɑ̃
Bianchi, bjɑ̃ki
Biarritz, bjaʁits
Bichkek, biʃkɛk
Bieberbach, bibəʁbak
Bielefeld, bilfɛld
Bienne, bjɛn
Bienvenüe, bjɛ̃vəny
Bihar, biaʁ
Bilal, bilal
Bilbao, bilbao
Bilzen, bilzɑ̃
Binche, binʃ
Birkenau, biʁkəno
Birkhoff, biʁkɔf
Birmanie, biʁmani
Birmingham, biʁmiŋɡam
Bishop, biʃɔp
Bismarck, bismaʁk
Bissau, biso
Bithynie, bitini
Bizet, bizɛ
Biélorussie, bjelɔʁysi
Blagnac, blaɲak
Blainville, blɛ̃vil
Blaise, blɛz
Blanc-Mesnil, blɑ̃menil
Blanche, blɑ̃ʃ
Blandine, blɑ̃din
Blankenberge, blɑ̃kənbɛʁʒ
Blaschke, blaʃk
Bloemfontein, blumfɔntɛjn
Blois, blwa
Blu-ray, blyʁɛ
Bluetooth, blutus
Blum, blum
Bobigny, bɔbiɲi
Bochner, bɔknɛʁ
Bochum, bɔkum
Bode, bɔd
Boeing, bɔiŋɡ
Bogotá, bɔɡɔta
Bohr, bɔʁ
Bohême, bɔɛm
Boileau, bwalo
Bois-Colombes, bwakɔlɔ̃b
Boisbriand, bwabʁijɑ̃
Bolivie, bɔlivi
Bollywood, bɔliwud
Bologne, bɔlɔɲ
Boltzmann, bɔltsman
Bolzano, bɔlzano
Bombay, bɔ̃bɛ
Bonaparte, bɔnapaʁt
Bondy, bɔ̃di
Boniface, bɔnifas
Bonn, bɔn
Bonnard, bɔnaʁ
Bonne-Espérance, bɔnɛspeʁɑ̃s
Boole, bul
Bordeaux, bɔʁdo
Borel, bɔʁɛl
Borgia, bɔʁʒja
Borinage, bɔʁinaʒ
Boris, bɔʁis
Bornem, bɔʁnɛm
Bornes, bɔʁn
Bornéo, bɔʁneo
Bose, boz
Bosnie, bɔsni
Bosnie-Herzégovine, bɔsniɛʁzeɡɔvin
Bosphore, bɔsfɔʁ
Bossuet, bɔsɥɛ
Boston, bɔstɔ̃
Botrange, bɔtʁɑ̃ʒ
Botswana, bɔtswana
Botticelli, bɔtitʃeli
Boucherville, buʃɛʁvil
Bouches-du-Rhône, buʃdyʁon
Bougainville, buɡɛ̃vil
Boulogne, bulɔɲ
Boulogne-Billancourt, bulɔɲbijɑ̃kuʁ
Boulogne-sur-Mer, bulɔɲsyʁmɛʁ
Bourbaki, buʁbaki
Bourbon, buʁbɔ̃
Bourdieu, buʁdjø
Bourg-en-Bresse, buʁkɑ̃bʁɛs
Bourges, buʁʒ
Bourgogne, buʁɡɔɲ
Bourgoin-Jallieu, buʁɡwɛ̃ʒaljø
Bouscat, buska
Boussu, busy
Bouygues, bwiɡ
Boèce, bɔɛs
Bq, beky
Brabant, bʁabɑ̃
Bradford, bʁadfɔʁd
Brahim, bʁaim
Brahma, bʁama
Brahmapoutre, bʁamaputʁ
Brahms, bʁams
Braine-l'Alleud, bʁɛnlalø
Braine-le-Comte, bʁɛnləkɔ̃t
Brandon, bʁɑ̃dɔn
Brasilia, bʁazilja
Brasov, bʁazɔv
Brassac, bʁasak
Brasschaat, bʁɛsʁat
Bratislava, bʁatislava
Brauer, bʁawœʁ
Bray, bʁɛ
Brazzaville, bʁazavil
Brecht, bʁɛʃt
Bresse, bʁɛs
Brest, bʁɛst
Bretagne, bʁətaɲ
Brian, bʁijɑ̃
Brice, bʁis
Brie, bʁi
Brigitte, bʁiʒit
Brisbane, bʁizban
Brive-la-Gaillarde, bʁivlaɡajaʁd
Brno, bʁno
Broglie, bʁɔɡli
Bron, bʁɔ̃
Brooklyn, bʁuklin
Brossard, bʁɔsaʁ
Brown, bʁawn
Broïda, bʁɔida
Bruay-la-Buissière, bʁɥɛlabɥisjɛʁ
Bruckner, bʁyknɛʁ
Bruegel, bʁyɡɛl
Bruges, bʁyʒ
Brunei, bʁynɛj
Bruno, bʁyno
Brunoy, bʁynwa
Brunswick, bʁynsvik
Brutus, bʁytys
Bruxelles, bʁyksɛl,bʁysɛl
Bruxelles-Capitale, bʁyksɛlkapital,bʁysɛlkapital
Bryan, bʁijɑ̃
Brésil, bʁezil
Brétigny-sur-Orge, bʁetiɲisyʁɔʁʒ
Brême, bʁɛm
Bucarest, bykaʁɛst
Budapest, bydapɛst
Buenos, bɥɛnos
Buffalo, byfalo
Buffon, byfɔ̃
Bujumbura, buʒumbuʁa
Bulgarie, bylɡaʁi
Bundesrat, bundəsʁat
Bundestag, bundəstaɡ
Buridan, byʁidɑ̃
Burkina, byʁkina
Burnside, bœʁnsajd
Burundi, buʁundi
Bush, byʃ
Byron, bajʁɔn
Byzance, bizɑ̃s
Bâle, bal
Bâle-Campagne, balkɑ̃paɲ
Bâle-Ville, balvil
Bègles, bɛɡl
Béarn, beaʁn
Béatrice, beatʁis
Béatrix, beatʁiks
Bénin, benɛ̃
Bénédicte, benedikt
Bérenger, beʁɑ̃ʒe
Bérengère, beʁɑ̃ʒɛʁ
Béring, beʁiŋ
Bérénice, beʁenis
Bételgeuse, betɛlʒøz
Béthune, betyn
Bétique, betik
Béziers, bezje
Bézout, bezu
C, se
CA, sea
CAC, kak
CAD, seade
CAP, kap
CCP, sesepe
CD, sede
CD-ROM, sedeʁɔm
CDD, sedede
CDI, sedei
CE1, seøœ̃
CE2, seødø
CEE, seøø
CERN, sɛʁn
CHF, seaʃɛf
CIA, seia
CM1, seɛmœ̃
CM2, seɛmdø
CMU, seɛmy
CNES, knɛs
CNRS, seɛnɛʁɛs
CNY, səɛniɡʁɛk
CO2, seodø
CP, sepe
CRS, seɛʁɛs
CV, seve
Cachan, kaʃɑ̃
Cachemire, kaʃmiʁ
Cadix, kadiks
Caelius, sɛljys
Caen, kɑ̃
Cagliari, kaɡlijaʁi
Cagnes-sur-Mer, kaɲsyʁmɛʁ
Cahors, kaɔʁ
Caire, kɛʁ
Calabre, kalabʁ
Calais, kalɛ
Calcutta, kalkyta
Calderón, kaldeʁɔn
Calestienne, kalɛstjɛn
Calgary, kalɡaʁi
Cali, kali
Californie, kalifɔʁni
Caligula, kaliɡyla
Calkin, kalkɛ̃
Callimaque, kalimak
Callisto, kalisto
Caluire-et-Cuire, kalɥiʁekɥiʁ
Calvados, kalvadɔs
Calvin, kalvin
Calédonie, kaledɔni
Camargue, kamaʁɡ
Cambodge, kɑ̃bɔdʒ
Cambrai, kɑ̃bʁɛ
Cambridge, kɑ̃bʁidʒ
Cameroun, kamʁun
Camille, kamij
Campanie, kɑ̃pani
Campbell, kɑ̃pbɛl
Campine, kɑ̃pin
Camus, kamy
Canada, kanada
Canaries, kanaʁi
Canaveral, kanaveʁal
Canberra, kɑ̃beʁa
Candice, kɑ̃dis
Cannes, kan
Cannet, kanɛ
Cantal, kɑ̃tal
Canton, kɑ̃tɔ̃
Cantons-de-l'Est, kɑ̃tɔ̃dəlɛst
Cantor, kɑ̃tɔʁ
Canyon, kanjɔn
Cap, kap
Cap-Vert, kapvɛʁ
Capet, kapɛ
Capitale-Nationale, kapitalnasjɔnal
Capitole, kapitɔl
Cappadoce, kapadɔs
Caracas, kaʁakas
Caravage, kaʁavaʒ
Carcassonne, kaʁkasɔn
Cardiff, kaʁdif
Caribert, kaʁibɛʁ
Carine, kaʁin
Carla, kaʁla
Carloman, kaʁlɔman
Carlos, kaʁlos
Carmen, kaʁmɛn
Carnot, kaʁno
Carole, kaʁɔl
Caroline, kaʁɔlin
Carpates, kaʁpat
Carpentras, kaʁpɑ̃tʁa
Carroll, kaʁɔl
Carstensz, kaʁstɛns
Cartan, kaʁtɑ̃
Carthage, kaʁtaʒ
Casablanca, kazablɑ̃ka
Casamance, kazamɑ̃s
Casanova, kazanɔva
Casimir, kazimiʁ
Casimir-Perier, kazimiʁpɛʁje
Caspienne, kaspjɛn
Cassandra, kasɑ̃dʁa
Cassandre, kasɑ̃dʁ
Cassini, kasini
Cassiopée, kasjɔpe
Castille, kastij
Castres, kastʁ
Catane, katan
Catherine, katʁin
Cathy, kati
Caton, katɔ̃
Catulle, katyl
Caucase, kokaz
Cauchy, koʃi
Causses, kos
Cavaillon, kavajɔ̃
Cavendish, kavɑ̃diʃ
Cayenne, kajɛn
Cayley, kelɛ
Caïn, kaɛ̃
Celle-Saint-Cloud, sɛlsɛ̃klu
Celsius, sɛlsjys
Cenon, senɔ̃
Centrafrique, sɑ̃tʁafʁik
Centre, sɑ̃tʁ
Centre-du-Québec, sɑ̃tʁədykebɛk
Cergy, sɛʁʒi
Cervantès, sɛʁvɑ̃tɛs
Cesàro, sezaʁo
Ceylan, sɛlɑ̃
Chablais, ʃablɛ
Chaillot, ʃajo
Chalon-sur-Saône, ʃalɔ̃syʁson
Chalons, ʃalɔ̃
Chambly, ʃɑ̃bli
Chambord, ʃɑ̃bɔʁ
Chambéry, ʃɑ̃beʁi
Chamisso, ʃamiso
Chamonix, ʃamɔni
Champagne, ʃɑ̃paɲ
Champagne-Ardenne, ʃɑ̃paɲaʁdɛn
Champigny-sur-Marne, ʃɑ̃piɲisyʁmaʁn
Champlain, ʃɑ̃plɛ̃
Champollion, ʃɑ̃pɔljɔ̃
Champs-sur-Marne, ʃɑ̃syʁmaʁn
Champs-Élysées, ʃɑ̃zelize
Chanel, ʃanɛl
Chantal, ʃɑ̃tal
Charente, ʃaʁɑ̃t
Charente-Maritime, ʃaʁɑ̃tmaʁitim
Charenton-le-Pont, ʃaʁɑ̃tɔ̃ləpɔ̃
Charlemagne, ʃaʁləmaɲ
Charleroi, ʃaʁləʁwa
Charles, ʃaʁl
Charleville, ʃaʁləvil
Charleville-Mézières, ʃaʁləvilmezjɛʁ
Charlevoix, ʃaʁləvwa
Charlie, ʃaʁli
Charline, ʃaʁlin
Charlotte, ʃaʁlɔt
Charlottetown, ʃaʁlɔttawn
Charly, ʃaʁli
Charlène, ʃaʁlɛn
Charolais, ʃaʁɔlɛ
Charon, ʃaʁɔ̃
Charonne, ʃaʁɔn
Chartres, ʃaʁtʁ
Charybde, ʃaʁibd
Chasles, ʃal
Chatou, ʃatu
Chaudfontaine, ʃofɔ̃tɛn
Chaudière-Appalaches, ʃodjɛʁapalaʃ
Chaumont, ʃomɔ̃
Chaux-de-Fonds, ʃodəfɔ̃
Chelles, ʃɛl
Chemnitz, ʃɛmnits
Chengdu, ʃɛŋɡdu
Chennai, ʃenɛ
Cher, ʃɛʁ
Cherbourg-Octeville, ʃɛʁbuʁɔktəvil
Chesapeake, tʃezapik
Chesnay, ʃenɛ
Chessex, ʃesɛks
Chevalley, ʃəvalɛ
Chevreul, ʃəvʁœl
Chiara, kjaʁa
Chicago, ʃikaɡo
Childebert, ʃildəbɛʁ
Childéric, ʃildeʁik
Chili, ʃili
Chilpéric, ʃilpeʁik
Chimay, ʃimɛ
Chimène, ʃimɛn
Chine, ʃin
Chirac, ʃiʁak
Chisinau, kiʃinaw
Chittagong, tʃitaɡɔ̃ŋ
Chloé, klɔe
Choisy-le-Roi, ʃwaziləʁwa
Cholesky, ʃɔlɛski
Cholet, ʃɔlɛ
Chongqing, ʃɔ̃ɡkiŋ
Chopin, ʃɔpɛ̃
Chostakovitch, ʃɔstakɔvitʃ
Christel, kʁistɛl
Christelle, kʁistɛl
Christian, kʁistjɑ̃
Christiane, kʁistjan
Christie, kʁisti
Christine, kʁistin
Christoffel, kʁistɔfɛl
Christophe, kʁistɔf
Christopher, kʁistɔfœʁ
Christèle, kʁistɛl
Chrysaor, kʁizaɔʁ
Chrysler, kʁislɛʁ
Churchill, tʃœʁtʃil
Chypre, ʃipʁ
Châlons-en-Champagne, ʃalɔ̃ɑ̃ʃɑ̃paɲ
Châteauguay, ʃatoɡɛ
Châteauroux, ʃatoʁu
Châtelet, ʃatlɛ
Châtellerault, ʃatɛlʁo
Châtenay-Malabry, ʃatnemalabʁi
Châtillon, ʃatijɔ̃
Chénier, ʃenje
Ci, si
Cicéron, siseʁɔ̃
Cid, sid
Cilicie, silisi
Cincinnati, sinsinati
Cindy, sindi
Ciney, sinɛ
Ciotat, sjɔta
Circassie, siʁkasi
Circé, siʁse
Cisjordanie, sisʒɔʁdani
Citroën, sitʁoɛn
City, siti
Claire, klɛʁ
Clamart, klamaʁ
Clara, klaʁa
Clarisse, klaʁis
Claude, klod
Claudel, klodɛl
Claudette, klodɛt
Claudie, klodi
Claudine, klodin
Clemenceau, kləmɑ̃so
Clermont-Ferrand, klɛʁmɔ̃feʁɑ̃
Clervaux, klɛʁvo
Cleveland, klivlɑ̃d
Clichy, kliʃi
Clichy-sous-Bois, kliʃisubwa
Clifford, klifɔʁd
Clinton, klintɔn
Clotaire, klotɛʁ
Clotho, klɔto
Clotilde, klotild
Clovis, klovis
Cloé, klɔe
Cluny, klyni
Clémence, klemɑ̃s
Clément, klemɑ̃
Clémentine, klemɑ̃tin
Cléopâtre, kleɔpatʁ
Cochinchine, kɔʃɛ̃ʃin
Cocteau, kɔkto
Cognac, kɔɲak
Cohen, kɔɛn
Coire, kwaʁ
Colbert, kɔlbɛʁ
Colchide, kɔlʃid
Colette, kolɛt
Coline, kɔlin
Colisée, kolize
Colmar, kɔlmaʁ
Cologne, kolɔɲ
Colomb, kolɔ̃b
Colombes, kɔlɔ̃b
Colombie, kɔlɔ̃bi
Colombie-Britannique, kɔlɔ̃bibʁitanik
Colombo, kɔlɔ̃bo
Colomiers, kɔlɔmje
Colorado, kɔlɔʁado
Columbus, kɔlɔ̃bys
Combs-la-Ville, kɔ̃blavil
Commonwealth, kɔmɔnwɛls
Comores, kɔmɔʁ
